scan,run,px,py,x,y,Unemployment,GDP Growth,Inflation,Pension Growth,YoungUnemp,OldUnemp,PensionBalEnd,Bankruptcies
mpc x birth,88,mpc-income,birth-count-shift,0.65,-2.0,0.06420055172672035,-0.0014827999431011507,0.0070083983918872795,0.0076228090761648855,0.07822084017094484,0.060598387783865636,3538.1249895353844,39
mpc x birth,89,mpc-income,birth-count-shift,0.65,-2.0,0.07449360503873684,-0.0008426757461107391,0.008492374249460389,0.007342872553372408,0.08874214213805827,0.070972331566831,3520.13709183426,34
mpc x birth,90,mpc-income,birth-count-shift,0.65,-2.0,0.06798825361920346,-0.0006855483988394971,0.0070043958360370894,-0.00022153628563497215,0.09150059362546639,0.062358624312187236,3237.555944333387,35
mpc x birth,91,mpc-income,birth-count-shift,0.65,-1.0,0.08579167824334653,-0.0026615876084631765,0.007221363719155972,0.012771315708000944,0.11042849164378314,0.07937388978702,3717.682164022522,42
mpc x birth,92,mpc-income,birth-count-shift,0.65,-1.0,0.074081641977557,-0.0015806843268720515,0.006306474026270988,0.004043037540376991,0.09419524154105889,0.0686521451268144,3423.173715450011,38
mpc x birth,93,mpc-income,birth-count-shift,0.65,-1.0,0.07881799970980595,-0.0026090787791092883,0.008070849484184186,0.005576389337268572,0.0977350573272535,0.07372066809474946,3447.409135898437,40
mpc x birth,94,mpc-income,birth-count-shift,0.65,-1.0,0.08342581534018197,-0.0024443467796602426,0.009133398927279181,-0.0004706356713800102,0.1034892738362623,0.07807414442119924,3224.35287150169,37
mpc x birth,95,mpc-income,birth-count-shift,0.65,-1.0,0.07847865621423426,-0.0016484456519424676,0.008266886267061898,0.00819484417818841,0.10367042450662026,0.07188222917229276,3580.7714029394715,39
mpc x birth,96,mpc-income,birth-count-shift,0.65,-1.0,0.07912730108470367,-0.0025446157136470105,0.009060720660394246,0.007109069927274484,0.10112907470961623,0.07318656731435705,3486.4277340759418,39
mpc x birth,97,mpc-income,birth-count-shift,0.65,-1.0,0.07451247752481575,-0.0007367013799145724,0.009561666701084532,0.0020910279054582852,0.09967455184013538,0.0678879751690363,3336.8614219721385,36
mpc x birth,98,mpc-income,birth-count-shift,0.65,-1.0,0.07431951402914952,-0.0005527525377646486,0.007047163744340168,0.0008630623586805571,0.09469204919070737,0.06883343968449374,3287.6363156804578,33
mpc x birth,99,mpc-income,birth-count-shift,0.65,-1.0,0.0747836814594532,-0.0014876028104319858,0.008777656875931858,-0.003705562012844015,0.09640406978881588,0.0691766434934954,3093.903875158176,38
mpc x birth,100,mpc-income,birth-count-shift,0.65,-1.0,0.07516724658378793,-0.0006154555334529221,0.008047667974154541,-0.0022348722539999853,0.09792910942011424,0.0691995383313524,3156.2176972145216,35
mpc x birth,101,mpc-income,birth-count-shift,0.65,-1.0,0.08820012300736238,-0.0022796557605879856,0.010097502059963853,0.009386131340818827,0.10992660164370835,0.08247384324981691,3579.412028420232,38
mpc x birth,102,mpc-income,birth-count-shift,0.65,-1.0,0.07126208166770873,-0.0004901045695034437,0.006353944705661362,-1.2439367952603796e-05,0.09282778844653625,0.06550250910638983,3235.1854894074804,35
mpc x birth,103,mpc-income,birth-count-shift,0.65,-1.0,0.06838211960813412,-0.0008313430385058016,0.008678220108831139,0.007772252330472047,0.08760762107415461,0.06326784189170673,3600.2292186611157,35
