run,retirement-ages,pension-replace-scale,mpc-income,consumer-choices,job-applications,Unemployment,GDP Growth,Inflation,Pension Growth
2145,173,0.6,0.85,5,3,0.01868132907792569,0.0006480389660819717,0.0021854049776966417,-0.038928904505240905
2146,173,0.6,0.85,5,3,0.01819227019620511,0.0007545279539373287,0.0017872922543902424,-0.03956234534565111
2147,173,0.6,0.85,5,3,0.018717357639147426,0.0006665811540107246,0.00193066233010167,-0.03989703184217597
2148,173,0.6,0.85,5,3,0.01312465134995105,0.0008967199394615017,0.0011300634590846442,-0.038509211179794556
2149,173,0.6,0.85,5,3,0.015434980633957934,0.0008920337882249725,0.001422036207659355,-0.03066623355729714
2150,173,0.6,0.85,5,3,0.013995195389939425,0.0012176687971999325,0.0013164416344654194,-0.03282278282044057
2151,173,0.6,0.85,5,4,0.01397696957678356,0.0007696669680558055,0.0018954978777932512,-0.03297787740693233
2152,173,0.6,0.85,5,4,0.013445227795813553,0.0008572728915684188,0.0018485375788491781,-0.03561769388023941
2153,173,0.6,0.85,5,4,0.013484275271328361,0.0007816466212640472,0.0018054494107276953,-0.02980282156790398
2154,173,0.6,0.85,5,4,0.011264389928844385,0.0010285733601279145,0.0012245097396813669,-0.03768345061485058
2155,173,0.6,0.85,5,4,0.013489213735271515,0.0005983599111689796,0.0018152772199098095,-0.030427339045964223
2156,173,0.6,0.85,5,4,0.012407218500128488,0.0008234647521458707,0.0014699253028018346,-0.03830869528582662
2157,173,0.6,0.85,5,4,0.012004275278290094,0.0007233973341343725,0.0018159479811621611,-0.027921727301718303
2158,173,0.6,0.85,5,4,0.01172775060734015,0.0007287297990864722,0.0015801037786358884,-0.04131121334130427
2159,173,0.6,0.85,5,4,0.012030558719636708,0.0007554261633148562,0.0010778258086203533,-0.02780748915185202
2160,173,0.6,0.85,5,4,0.012141341819024829,0.0008377645064691312,0.0017311590486014455,-0.05643985840768013
2161,173,0.6,0.85,5,4,0.011158165704448237,0.0010625688793056431,0.001074935073423413,-0.030866505897551983
2162,173,0.6,0.85,5,4,0.01191950800703025,0.0010004756741905107,0.0012543394489259948,-0.02844277625716981
2163,173,0.6,0.85,5,4,0.011214345613789558,0.0010464550834228307,0.0012853782810899373,-0.030887422654849013
2164,173,0.6,0.85,5,4,0.017254179824570864,0.0008680780293439175,0.001951762675333459,-0.033853570847762894
2165,173,0.6,0.85,5,4,0.017498083684958254,0.000668308744577108,0.0019358678722820614,-0.03456003497214015
2166,173,0.6,0.85,5,4,0.014193948359530048,0.0007478254768481242,0.0016012084148962994,-0.04101908329769738
2167,173,0.6,0.85,5,4,0.013172425047747377,0.0011496454337680787,0.001495505621734818,-0.046006108457090494
2168,173,0.6,0.85,5,4,0.013266316896413537,0.0008863452446780518,0.0015901729809710964,-0.04030011277987977
2169,173,0.6,0.85,5,4,0.016473448480568968,0.0006083229117802472,0.00263872119509223,-0.03773846501807934
2170,173,0.6,0.85,5,4,0.013142065484628786,0.0011600519190214504,0.0014394789836385108,-0.0297679320203582
2171,173,0.6,0.85,5,4,0.011183873128853827,0.0009212762645544627,0.0012881075277293866,-0.03630366515161942
2172,173,0.6,0.85,5,4,0.011720187614060315,0.0010218582849941006,0.0014219612904427343,-0.03859610085837091
2173,173,0.6,0.85,5,4,0.013415412077137104,0.0009722326312445205,0.0021490019522306036,-0.045085494613297625
2174,173,0.6,0.85,5,4,0.015673808673425292,0.000812762758134189,0.0017239257008100904,-0.033326951491521525
2175,173,0.6,0.85,5,4,0.011604433729878126,0.0008011810390374982,0.00153998023940499,-0.04556556973656583
2176,173,0.6,0.85,5,4,0.010925069961491198,0.0008764031608032189,0.0012724704113294685,-0.03206921281892307
2177,173,0.6,0.85,5,4,0.00961067162171613,0.0013506379993515228,0.0006962347386579896,-0.04334457708814592
2178,173,0.6,0.85,5,4,0.0133156454092986,0.0007489732943834901,0.0015108254314756217,-0.0476306395650657
2179,173,0.6,0.85,5,4,0.013211900756483147,0.0007856333389828767,0.0014607938034660506,-0.035411390017396405
2180,173,0.6,0.85,5,4,0.01361384143804326,0.0009324010171795225,0.0018122053767987284,-0.030552419782921152
2181,173,0.6,0.85,5,4,0.013277972294936324,0.0006483990444657821,0.0013951515445379157,-0.041179010865361756
2182,173,0.6,0.85,5,4,0.014225358446078109,0.000815865636702499,0.0016702418530071459,-0.02840573118922346
2183,173,0.6,0.85,5,4,0.01231774598058257,0.001109530463352856,0.0012113511804667857,-0.03265360552623516
2184,173,0.6,0.85,5,4,0.010465142244003458,0.0009581768343133439,0.0012650538404530682,-0.03094462534127706
2185,173,0.6,0.85,5,4,0.011810268300710414,0.0008599620367957375,0.0015822821243145087,-0.03879938590712265
2186,173,0.6,0.85,5,4,0.01657924489966634,0.0005000229376095034,0.002158086449627397,-0.029949600756631167
2187,173,0.6,0.85,5,4,0.013820014641047864,0.0007831029453263565,0.001815079656325389,-0.027750906486972506
2188,173,0.6,0.85,5,4,0.012883030635405853,0.0009120580751150008,0.0022514894306758567,-0.03514202050937875
2189,173,0.6,0.85,5,4,0.013678752314280779,0.0008441743793028585,0.002194350631827355,-0.04415232971042289
2190,173,0.6,0.85,5,4,0.01084281950915382,0.0010065780368634053,0.001282386974237388,-0.03362769501552209
2191,173,0.6,0.85,5,4,0.011466672926307028,0.0008794583487569295,0.0012744469954077532,-0.028891919874776673
2192,173,0.6,0.85,5,4,0.015978664776413104,0.0006069264292797628,0.002027057564849477,-0.038786244336176
2193,173,0.6,0.85,5,4,0.012174327870900128,0.0006841800494860829,0.0012738224963453376,-0.03126903685006825
2194,173,0.6,0.85,5,4,0.012963946299787707,0.0007877801165610624,0.0015112374447107137,-0.03794632489754218
2195,173,0.6,0.85,5,4,0.01435232038079583,0.0007429140137051693,0.0022511834642759804,-0.028258446127473687
2196,173,0.6,0.85,5,4,0.011327800888869144,0.0010640947092574388,0.0012755797822950582,-0.0378385509293776
2197,173,0.6,0.85,5,4,0.015460695083758452,0.0007943198735171124,0.0018087199346602308,-0.03199176490941693
2198,173,0.6,0.85,5,4,0.013670024715514867,0.0012468059195327736,0.001552490927641656,-0.030281212108459476
2199,173,0.6,0.85,5,4,0.012075588044386583,0.001031251575015906,0.0013330295151864145,-0.03429229324816887
2200,173,0.6,0.85,5,4,0.012240037316591299,0.0009307470853799719,0.0014509104132067415,-0.03947401724321804
2201,173,0.6,0.85,5,5,0.013260552533562498,0.0007792881507808114,0.002315886256846048,-0.038721962172190226
2202,173,0.6,0.85,5,5,0.009808556202935147,0.0008680689244486669,0.0011763607492357778,-0.03980146159495066
2203,173,0.6,0.85,5,5,0.01029845043412511,0.0009685644392363272,0.0014409456303071033,-0.035541428883911805
2204,173,0.6,0.85,5,5,0.00837356423865595,0.0005212437444668003,0.001427506000343349,-0.020169273916984448
2205,173,0.6,0.85,5,5,0.01088528403193755,0.0008407743809610279,0.002002547404140477,-0.044020977452832996
2206,173,0.6,0.85,5,5,0.011742370519074669,0.0009068795841120338,0.0016495594427263667,-0.03786248651717874
2207,173,0.6,0.85,5,5,0.012560763424053666,0.0008809782813177028,0.0018021214551102742,-0.026643934840610485
2208,173,0.6,0.85,5,5,0.011343587801147711,0.0007517655133952274,0.0015373390247377082,-0.030541302275812164
2209,173,0.6,0.85,5,5,0.010856621075868687,0.0008630070900354188,0.001737641528743281,-0.030546296401240413
2210,173,0.6,0.85,5,5,0.012198715934927624,0.0006412554675820408,0.002165687733701775,-0.04427946620964477
2211,173,0.6,0.85,5,5,0.009593338324990638,0.0010295994390700832,0.0012976963219779836,-0.03593116519127297
2212,173,0.6,0.85,5,5,0.014499025756500944,0.0007145736326962613,0.002935881716640445,-0.0220729074031156
2213,173,0.6,0.85,5,5,0.010703373428067816,0.0009420687718221783,0.001504159981305765,-0.03455940164118432
2214,173,0.6,0.85,5,5,0.009512702262664879,0.0006404390450017441,0.0011414199698137123,-0.03600465612242972
2215,173,0.6,0.85,5,5,0.011021138602235993,0.0009223068128985809,0.001709842454758262,-0.03499534831006174
2216,173,0.6,0.85,5,5,0.009573696752545074,0.0007403028836279855,0.0013728622619610079,-0.022758761886636857
2217,173,0.6,0.85,5,5,0.011222046859165637,0.0008673896599900923,0.0019436525279716316,-0.03634537134992775
2218,173,0.6,0.85,5,5,0.010942994751704838,0.0008887553642878378,0.001739046020165791,-0.04227728438133013
2219,173,0.6,0.85,5,5,0.01339373080131035,0.0006291460999656677,0.002419668185181218,-0.04163561345612177
2220,173,0.6,0.85,5,5,0.010603695547553919,0.0007458633498806874,0.0015006716841602995,-0.03452489024050193
2221,173,0.6,0.85,5,5,0.01231592682695049,0.0007051546301118543,0.0020308846743862263,-0.03393131842260229
2222,173,0.6,0.85,5,5,0.009078752948176274,0.0006963458054064983,0.001249760164355463,-0.029185069926584605
2223,173,0.6,0.85,5,5,0.009739929949652315,0.000815759316542679,0.0014222303490754827,-0.035893936497234505
2224,173,0.6,0.85,5,5,0.015857127006164262,0.0007724321468583656,0.002492686278156122,-0.03439962183424085
2225,173,0.6,0.85,5,5,0.009866556855751033,0.0005842043985593504,0.0012485684473661526,-0.036671536135431164
2226,173,0.6,0.85,5,5,0.012591119454604175,0.0007578713735203335,0.0019239654352313398,-0.019911443310912824
2227,173,0.6,0.85,5,5,0.013170323423501773,0.0007195777418874097,0.0018542326573970662,-0.03491736601252524
2228,173,0.6,0.85,5,5,0.012741565145285277,0.0006938792061350809,0.0018037275322644686,-0.03999482755394252
2229,173,0.6,0.85,5,5,0.009819866974564767,0.0009521187284956773,0.0013704000122172371,-0.03929478514969028
2230,173,0.6,0.85,5,5,0.012321423149217154,0.00072928124389397,0.0014151412027690543,-0.03656066252069629
2231,173,0.6,0.85,5,5,0.011734670992541812,0.0009877910138850984,0.0013215727930621082,-0.03820955439661408
2232,173,0.6,0.85,5,5,0.009625509548223539,0.0010386424407516771,0.001687777759068008,-0.03309343639000549
2233,173,0.6,0.85,5,5,0.008671916469637487,0.0009989750348305883,0.0013653193766120944,-0.02991742178068101
2234,173,0.6,0.85,5,5,0.011099666060323388,0.0009884365896511592,0.0016634343937389072,-0.04145022288064342
2235,173,0.6,0.85,5,5,0.01054402660053551,0.0010383346939460607,0.0016658472330722666,-0.03333921792220163
2236,173,0.6,0.85,5,5,0.01135411985518125,0.0009716076086990384,0.0018488495489636003,-0.03265422622629399
2237,173,0.6,0.85,5,5,0.012373314455648808,0.0004997680592377699,0.0025000229358877815,-0.050764836430242155
2238,173,0.6,0.85,5,5,0.011410576012603675,0.000901438184918837,0.0019105411101502615,-0.031320558925509515
2239,173,0.6,0.85,5,5,0.011678534472751138,0.0008520337862858076,0.0015321552188545388,-0.04114778147649515
2240,173,0.6,0.85,5,5,0.008772644058996134,0.0012157637086777494,0.0009421600546781062,-0.02929073730726334
2241,173,0.6,0.85,5,5,0.013683012759646312,0.0007049272794975292,0.002239297216016653,-0.03524475951535957
2242,173,0.6,0.85,5,5,0.011235346312008298,0.0007297826801235143,0.0019436391654061415,-0.033960674917570155
2243,173,0.6,0.85,5,5,0.010809608928235548,0.0009013850193283227,0.001191414978820858,-0.038124892370811944
2244,173,0.6,0.85,5,5,0.010392172130880969,0.0008950448672401832,0.0014437988181738427,-0.03424038697633989
2245,173,0.6,0.85,5,5,0.009145766272416853,0.0009607274872465418,0.0013965611322463761,-0.03545831710341725
2246,173,0.6,0.85,5,5,0.01185525480441577,0.0006532407557944022,0.0018319662202061426,-0.033578873699132365
2247,173,0.6,0.85,5,5,0.009551941861938005,0.0008590889303481481,0.0010373162421792193,-0.03521310045087924
2248,173,0.6,0.85,5,5,0.010825251124691423,0.000950717030353055,0.0018351677932352643,-0.02806563000756308
2249,173,0.6,0.85,5,5,0.010283933592556518,0.0011391767813231921,0.0015420104888723121,-0.0250266375386726
2250,173,0.6,0.85,5,5,0.014310831262638194,0.0006840788127807928,0.0025707933394032456,-0.02893855759098049
2251,173,0.6,0.9,3,3,0.015309686460033094,0.0007121028570728075,0.0009628878405914789,-0.03434033808675833
2252,173,0.6,0.9,3,3,0.015675385879980703,0.0007019502154120401,0.0010278019693617853,-0.03403392053162682
2253,173,0.6,0.9,3,3,0.01800861850507543,0.0005057848159808703,0.0015019328675007382,-0.03817198656012059
2254,173,0.6,0.9,3,3,0.02137077246241828,0.000496857577514167,0.001433226245545014,-0.04540549201460317
2255,173,0.6,0.9,3,3,0.015819467761954392,0.00041549182596921,0.001501077562852374,-0.037408626073857386
2256,173,0.6,0.9,3,3,0.018178463169786153,0.000579533540610341,0.0013495324819402918,-0.03689617447829171
2257,173,0.6,0.9,3,3,0.018965078319164802,0.000635004768486021,0.0010310585590145578,-0.02894616549739401
2258,173,0.6,0.9,3,3,0.01732459035630159,0.0004956795921815367,0.0011957359099253064,-0.033945633280738886
2259,173,0.6,0.9,3,3,0.01454344920621945,0.0005232806304200368,0.0011743866842284579,-0.04482285960174873
2260,173,0.6,0.9,3,3,0.015500988865898995,0.000789322973877889,0.0006549051141254402,-0.03517185676127463
2261,173,0.6,0.9,3,3,0.01583842461310314,0.0006288040379769787,0.0011424380108808845,-0.04428598690279845
2262,173,0.6,0.9,3,3,0.018086723088851824,0.00052401953930685,0.0014531290901153599,-0.04294692692796947
2263,173,0.6,0.9,3,3,0.016951561227224576,0.0005811307483170504,0.0011125153950166144,-0.04898416746687123
2264,173,0.6,0.9,3,3,0.020379105665058385,0.0005105618687255866,0.0014641556987795427,-0.025760866905371993
2265,173,0.6,0.9,3,3,0.01955607097610149,0.00049241635213637,0.0014834299545139202,-0.04219746493392552
2266,173,0.6,0.9,3,3,0.02071808295267059,0.0006053816133165717,0.0011154407669389647,-0.030866175166083705
2267,173,0.6,0.9,3,3,0.01806203445580826,0.0005728690264081572,0.001126391902985515,-0.02168858715290601
2268,173,0.6,0.9,3,3,0.019990648530836923,0.0006490446818667805,0.0018778698981163858,-0.03974473151374157
2269,173,0.6,0.9,3,3,0.017087206918649473,0.000627674263584353,0.0012231463859906785,-0.03548263409952594
2270,173,0.6,0.9,3,3,0.013596388768636147,0.0005645472964972603,0.0008723658413454273,-0.035324703694501865
2271,173,0.6,0.9,3,3,0.015580570159650572,0.0006892152707819599,0.0011177788091529582,-0.03948775924890152
2272,173,0.6,0.9,3,3,0.020310194760378132,0.00043952521515165074,0.0017495212087222792,-0.03984430929331044
2273,173,0.6,0.9,3,3,0.02105205612605583,0.0004698952213589092,0.0016805376239457375,-0.03573494048010408
2274,173,0.6,0.9,3,3,0.014204638086495924,0.000642380479055419,0.0007211297190362784,-0.04018547987274357
2275,173,0.6,0.9,3,3,0.017413163580720616,0.000697835999751069,0.0011088559155910858,-0.041201107865069364
2276,173,0.6,0.9,3,3,0.018870144936260616,0.0004960742364370609,0.0014370319562129667,-0.039938346782437656
2277,173,0.6,0.9,3,3,0.015919993969923565,0.000336523331670994,0.0013888186225736675,-0.03263173161738655
2278,173,0.6,0.9,3,3,0.015051469042038296,0.0008659222450789001,0.0008037329081831865,-0.04410273502555916
2279,173,0.6,0.9,3,3,0.018738155170326506,0.0008455624243943504,0.0010134177569334128,-0.03847340675787164
2280,173,0.6,0.9,3,3,0.018245498925588244,0.0006900215961163792,0.001104284117519007,-0.030732375591391345
2281,173,0.6,0.9,3,3,0.017408640392034137,0.0005946070979851992,0.0011423934400149633,-0.03390381931172779
2282,173,0.6,0.9,3,3,0.016635130333814294,0.0005782496696833975,0.001323482658835575,-0.04135569004326829
2283,173,0.6,0.9,3,3,0.014494707710346994,0.000670904307794571,0.0009106490621163033,-0.04345367638331984
2284,173,0.6,0.9,3,3,0.01539740668641566,0.0007105474345590604,0.0007790129458199246,-0.034846867188452674
