x,y,t,fund,unemp,gdp
0.525,209,24,7319.605577136658,0.2350585914583601,0.010301224307075418
0.525,209,25,7461.025888375748,0.23546485816290416,0.014466975473889206
0.525,209,26,7605.871039711017,0.2219783213840681,0.032526705993285936
0.525,209,27,7758.2463360860065,0.1947616748815865,0.020775658557623432
0.525,209,28,7916.433577436918,0.17514623919281205,0.004863475302585033
0.525,209,29,8053.066225704413,0.17840199898583517,0.004995618144694438
0.525,209,30,8189.798298640281,0.17493337392003713,0.004968416611110792
0.525,209,31,8326.075173760799,0.17280948238758534,0.0067099527658257595
0.525,209,32,8461.66787543848,0.17168258672329675,0.006163994766370506
0.525,209,33,8557.59823344656,0.18171767502404823,0.005210397760835128
0.525,209,34,8651.223929562411,0.17954700669737353,0.006078980165011694
0.525,209,35,8742.365997514671,0.17852202224072808,0.004465930920810036
0.525,209,36,8830.514502950815,0.1780994234067326,0.003187255155714441
0.525,209,37,8959.629291096511,0.19722002071011133,-0.013004145717486704
0.525,209,38,9081.907451769895,0.22043356966308228,-0.029649380109034177
0.525,209,39,9194.635697883523,0.2580608591026275,-0.041098307550294755
0.525,209,40,9297.690882287961,0.2921043043257841,-0.029610875066494787
0.55,169,1,3305.119649536839,0.02430858509478285,-0.051819701141142996
0.55,169,2,3314.8131868727273,0.003611132160787333,0.01150354653024818
0.55,169,3,3323.032445152859,0.002229615500124185,-0.002710733586924936
0.55,169,4,3330.2751537270956,0.0015718465291380483,-0.002340036237895676
0.55,169,5,3334.3454028209267,0.020647886348862887,0.0010961603432128974
0.55,169,6,3340.0764618146195,0.004795228712840693,0.01448910441753681
0.55,169,7,3344.002970343878,0.003275187561818132,0.0012352126487578914
0.55,169,8,3345.4324207149557,0.00308551546520855,0.0009021975200967492
0.55,169,9,3355.0020045977976,0.022121353037847513,0.001878796471221489
0.55,169,10,3365.0772119121193,0.008616896980667277,0.011631496253189034
0.55,169,11,3373.284830000463,0.0057286711173507865,0.002498585197020178
0.55,169,12,3378.781738262814,0.00457059710902616,0.0011989096130149298
0.55,169,13,3378.7858941510553,0.02353153495928135,-0.003084031409932008
0.55,169,14,3379.7896022272075,0.00905365471274845,0.008471685526970122
0.55,169,15,3379.0037570814434,0.00480030842875774,-0.0004633979038329425
0.55,169,16,3375.1559326893475,0.0037738312032390164,-0.0030367423871249387
0.55,169,17,3363.902601309305,0.021739431177106094,-0.003713929406918085
0.55,169,18,3352.713267803918,0.005751180700281983,0.008398658613586525
0.55,169,19,3338.136465511275,0.004196489982197896,-0.004051438873084721
0.55,169,20,3319.2574721500005,0.004507905009093475,-0.0072312824637854175
0.55,169,21,3292.911214387371,0.02348806771126962,-0.0009820850764226709
0.55,169,22,3266.601570437472,0.010801931751736247,0.00584364141818947
0.55,169,23,3237.0115021989486,0.007302118948097235,-0.0025323355283256113
0.55,169,24,3203.789520176343,0.006243427921559784,-0.004200625978119366
0.55,169,25,3164.244723051256,0.0250920914468172,0.0031450738086295092
0.55,169,26,3124.89697826647,0.011357001528023098,0.013224647234600385
0.55,169,27,3083.4042513288264,0.00808469101149547,0.00039751816587564105
0.55,169,28,3039.1820227504695,0.006296397821505457,0.0026722857034897677
0.55,169,29,2983.19013560369,0.021266945807375124,-0.0037981133272577115
0.55,169,30,2926.608944697919,0.010881655315704114,0.00799842885190432
0.55,169,31,2868.3933780365082,0.0050945634122830106,-0.0006401650458045893
0.55,169,32,2806.554483998165,0.004436210245802884,-0.0035854740096006323
0.55,169,33,2727.0598389386573,0.021729513068058374,-0.0033886940849814965
0.55,169,34,2646.408971116808,0.00968318482192152,0.00888996539157391
0.55,169,35,2562.153950318651,0.004350964222824574,0.0024553560625669743
0.55,169,36,2473.697023888971,0.003285375001576686,-0.0010122046103552263
0.55,169,37,2354.368644324935,0.020252652617428275,-0.0025842817896949513
0.55,169,38,2233.0510669887776,0.007949421560104935,0.008433189239092979
0.55,169,39,2107.366706679515,0.004222606583162107,0.0007497757362821009
0.55,169,40,1976.1403426473123,0.004034740587116435,-0.0009911089858658346
0.55,173,1,3322.1128949547287,0.025465299072322978,-0.04067587350687093
0.55,173,2,3348.756954699849,0.007186280523093027,0.011013733250559439
0.55,173,3,3374.9634270098345,0.00413078984418128,-0.0013468475171042778
0.55,173,4,3400.4555541190293,0.002836651321532343,-0.0011548077727271617
0.55,173,5,3423.248761585993,0.021548074903236198,0.00034263854532391497
0.55,173,6,3447.719453379163,0.008566596550569969,0.012402521663400763
0.55,173,7,3470.460664214088,0.006125513560112523,0.0024760814191719335
0.55,173,8,3491.2817406736917,0.005790431046906743,0.0009504327325111035
0.55,173,9,3520.9871573873843,0.024545719364876314,0.001560790661905762
0.55,173,10,3551.8486288189115,0.012966132840022343,0.010003363643181976
0.55,173,11,3581.2901025464225,0.010932286702084477,0.003219431525692089
0.55,173,12,3609.1813619900804,0.01019024129298755,0.0013742558385884192
0.55,173,13,3633.1725047148293,0.026997031584950853,0.0005119468183473827
0.55,173,14,3657.730461231773,0.015869567271229148,0.005515972614950361
0.55,173,15,3680.9427001736826,0.011453707944911922,0.00035987613650589146
0.55,173,16,3702.1577694483253,0.00873881322903708,-0.001542932275832469
0.55,173,17,3715.7385118734383,0.0245787425793778,-0.0023837611604952485
0.55,173,18,3729.215744290123,0.01059423811323551,0.00690823273257599
0.55,173,19,3739.86852077105,0.00738924839327518,-0.0031315125955865813
0.55,173,20,3746.8483142300156,0.006028535634976197,-0.004572617061123866
0.55,173,21,3745.3121880141393,0.026422591718688153,-0.0026725851368047827
0.55,173,22,3742.3586137055213,0.020337997191586927,-0.00026872416053600145
0.55,173,23,3737.794562309656,0.01555134195045199,-0.001409756131103062
0.55,173,24,3731.065405089971,0.012480238787578073,0.0003716626343936222
0.55,173,25,3717.8775482662545,0.03164279369582398,0.0026577255970491303
0.55,173,26,3703.4929027777753,0.023897316178073714,0.004444943609558093
0.55,173,27,3686.6437605874316,0.019625522748614156,0.003144375692652338
0.55,173,28,3667.1540646927765,0.017050949441776386,0.001771039447675244
0.55,173,29,3634.697325622576,0.030973723766126816,-0.0003548054678429599
0.55,173,30,3602.321758122844,0.021577376912648008,0.003985482939754342
0.55,173,31,3568.841404688276,0.015772973071363765,0.0013486441638598978
0.55,173,32,3533.302434094744,0.012140071943032064,0.001625574521228057
0.55,173,33,3478.093496201479,0.02733943269870046,-0.0008229573726451461
0.55,173,34,3420.791944849888,0.016970238635192827,0.005795975378815554
